,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bubaque,11.2833,-15.8333,24.430000000000007,54,100,6.87,GW,1675655109
1,arcelia,18.2833,-100.2667,24.140000000000043,37,0,1.46,MX,1675655452
2,wenchi,7.7392,-2.1046,23.510000000000048,77,84,1.81,GH,1675655452
3,samarai,-10.6167,150.6667,27.400000000000034,83,99,5.8,PG,1675655453
4,iranshahr,27.2025,60.6848,12.189999999999998,71,0,2.06,IR,1675655453
5,kawalu,-7.3817,108.2082,29.370000000000005,53,100,0.17,ID,1675655454
6,tromso,69.6496,18.957,3.0100000000000477,75,75,7.2,NO,1675655454
7,pevek,69.7008,170.3133,-37.93999999999997,100,94,1.45,RU,1675655455
8,chiredzi,-21.05,31.6667,19.29000000000002,75,0,0.9,ZW,1675655455
9,bethel,41.3712,-73.414,4.25,62,0,0.0,US,1675655456
10,lazaro cardenas,17.9583,-102.2,23.100000000000023,82,0,1.43,MX,1675655157
11,sao filipe,14.8961,-24.4956,20.30000000000001,65,45,6.94,CV,1675655456
12,albany,42.6001,-73.9662,4.230000000000018,65,100,1.81,US,1675655455
13,ushuaia,-54.8,-68.3,5.810000000000002,65,0,2.06,AR,1675655457
14,busselton,-33.65,115.3333,27.160000000000025,43,0,5.5,AU,1675655458
15,vanavara,60.34,102.2797,-11.279999999999973,93,100,2.81,RU,1675655458
16,sept-iles,50.2001,-66.3821,-14.0,79,100,3.6,CA,1675655304
17,komsomolskiy,40.4272,71.7189,3.400000000000034,93,100,2.06,UZ,1675655459
18,imeni poliny osipenko,52.4201,136.4853,-18.94999999999999,89,96,1.69,RU,1675655460
19,tshikapa,-6.4167,20.8,18.960000000000036,97,74,0.29,CD,1675655460
20,aktash,50.3,87.7333,-16.379999999999995,84,93,2.02,RU,1675655461
21,katsuura,35.1333,140.3,11.220000000000027,49,82,2.57,JP,1675655461
22,rikitea,-23.1203,-134.9692,26.04000000000002,76,3,6.63,PF,1675655462
23,longyearbyen,78.2186,15.6401,-4.089999999999975,86,20,4.63,SJ,1675655462
24,mataura,-46.1927,168.8643,19.140000000000043,54,95,4.33,NZ,1675655463
25,nikolskoye,59.7035,30.7861,-2.0600000000000023,97,100,1.51,RU,1675655464
26,tual,-5.6667,132.75,27.120000000000005,79,100,8.86,ID,1675655465
27,hilo,19.7297,-155.09,24.600000000000023,87,40,2.06,US,1675655465
28,hermanus,-34.4187,19.2345,21.0,89,61,5.75,ZA,1675655466
29,arvi,20.9833,78.2333,24.810000000000002,19,5,0.76,IN,1675655467
30,khatanga,71.9667,102.5,-37.089999999999975,100,44,2.85,RU,1675655468
31,hamilton,39.1834,-84.5333,7.970000000000027,70,100,3.6,US,1675655311
32,jamestown,42.097,-79.2353,3.170000000000016,93,100,4.63,US,1675655469
33,hithadhoo,-0.6,73.0833,27.379999999999995,70,96,4.89,MV,1675655470
34,ukiah,39.1502,-123.2078,7.939999999999998,88,0,4.12,US,1675655471
35,punta arenas,-53.15,-70.9167,9.060000000000002,81,75,3.09,CL,1675655471
36,marrakesh,31.6315,-8.0083,8.04000000000002,53,20,1.54,MA,1675655472
37,havelock,34.8791,-76.9013,13.970000000000027,90,100,0.89,US,1675655358
38,mount gambier,-37.8333,140.7667,21.230000000000018,49,8,4.26,AU,1675655473
39,port elizabeth,-33.918,25.5701,23.939999999999998,97,100,4.12,ZA,1675655451
40,treinta y tres,-33.2333,-54.3833,16.77000000000004,91,7,2.01,UY,1675655474
41,yulara,-25.2406,130.9889,32.28000000000003,10,0,4.24,AU,1675655474
42,tuy hoa,13.0833,109.3,25.970000000000027,77,47,2.09,VN,1675655475
43,asau,46.4333,26.4,-4.289999999999964,94,97,3.37,RO,1675655476
44,tiksi,71.6872,128.8694,-30.169999999999987,100,100,1.82,RU,1675655476
45,kapaa,22.0752,-159.319,25.99000000000001,86,75,6.17,US,1675655477
46,mar del plata,-38.0023,-57.5575,24.49000000000001,72,0,3.6,AR,1675655477
47,kimbe,-5.5502,150.1429,29.350000000000023,73,96,2.27,PG,1675655478
48,tuatapere,-46.1333,167.6833,19.58000000000004,52,84,5.17,NZ,1675655480
49,east london,-33.0153,27.9116,23.55000000000001,84,83,4.37,ZA,1675655480
50,bredasdorp,-34.5322,20.0403,20.74000000000001,88,65,5.49,ZA,1675655481
51,concepcion,-36.827,-73.0498,13.890000000000043,94,4,1.03,CL,1675655382
52,kodiak,57.79,-152.4072,2.730000000000018,93,100,1.54,US,1675655482
53,paamiut,61.994,-49.6678,-10.96999999999997,77,100,4.8,GL,1675655483
54,berlevag,70.8578,29.0864,3.9700000000000273,65,75,11.32,NO,1675655484
55,narsaq,60.9167,-46.05,-9.879999999999995,85,82,4.46,GL,1675655484
56,codrington,-38.2667,141.9667,19.310000000000002,57,51,4.7,AU,1675655485
57,lebu,-37.6167,-73.65,15.510000000000048,88,0,7.39,CL,1675655485
58,geraldton,-28.7667,114.6,26.230000000000018,53,40,6.69,AU,1675655198
59,kununurra,-15.7667,128.7333,34.99000000000001,26,37,1.54,AU,1675655488
60,airai,-8.9266,125.4092,20.980000000000018,74,87,1.7,TL,1675655488
61,port alfred,-33.5906,26.891,22.32000000000005,94,67,3.3,ZA,1675655489
62,moyo,3.6609,31.7247,20.400000000000034,36,54,0.44,UG,1675655489
63,vaini,-21.2,-175.2,29.090000000000032,65,40,3.09,TO,1675655490
64,butaritari,3.0707,172.7902,27.090000000000032,82,59,8.13,KI,1675655490
65,tuktoyaktuk,69.4541,-133.0374,-42.99999999999997,66,20,1.54,CA,1675655491
66,carnarvon,-24.8667,113.6333,28.560000000000002,58,0,8.21,AU,1675655491
67,caohe,30.2297,115.4335,13.160000000000025,68,100,1.96,CN,1675655492
68,redlands,34.0556,-117.1825,12.170000000000016,74,21,2.88,US,1675655492
69,mekhe,15.1097,-16.6218,17.420000000000016,54,47,5.66,SN,1675655492
70,arman,59.7,150.1667,-20.22999999999999,78,94,3.06,RU,1675655493
71,hasaki,35.7333,140.8333,12.220000000000027,55,53,2.98,JP,1675655493
72,arraial do cabo,-22.9661,-42.0278,23.560000000000002,88,61,1.87,BR,1675655494
73,brewster,41.3973,-73.6171,4.3799999999999955,67,0,0.0,US,1675655494
74,cherskiy,68.75,161.3,-39.29999999999998,99,100,2.0,RU,1675655495
75,waipawa,-41.4122,175.5153,21.29000000000002,56,0,5.52,NZ,1675655495
76,san patricio,28.017,-97.5169,18.80000000000001,92,0,3.61,US,1675655496
77,salalah,17.0151,54.0924,20.05000000000001,77,0,0.51,OM,1675655496
78,saskylakh,71.9167,114.0833,-41.23999999999998,100,97,1.76,RU,1675655497
79,olafsvik,64.8945,-23.7142,1.7100000000000364,73,70,15.49,IS,1675655498
80,ribeira grande,38.5167,-28.7,15.990000000000009,94,100,7.6,PT,1675655499
81,laguna,38.421,-121.4238,9.990000000000009,84,0,0.0,US,1675655499
82,andreapol,56.6513,32.2664,-8.549999999999955,90,100,3.25,RU,1675655500
83,mount isa,-20.7333,139.5,29.870000000000005,66,75,4.12,AU,1675655501
84,srednekolymsk,67.45,153.6833,-32.42999999999998,96,100,2.65,RU,1675655502
85,makakilo city,21.3469,-158.0858,26.180000000000007,66,75,9.26,US,1675655502
86,yellowknife,62.456,-114.3525,-19.68999999999997,77,100,5.66,CA,1675655305
87,fortuna,40.5982,-124.1573,8.29000000000002,95,100,4.63,US,1675655503
88,evanston,42.0411,-87.6901,0.5400000000000205,75,0,2.06,US,1675655504
89,oriximina,-1.7656,-55.8661,22.890000000000043,95,44,1.11,BR,1675655505
90,riyadh,24.6877,46.7219,16.08000000000004,55,6,6.05,SA,1675655407
91,bluff,-46.6,168.3333,15.439999999999998,76,82,10.82,NZ,1675655506
92,saint-philippe,-21.3585,55.7679,27.77000000000004,80,68,5.54,RE,1675655506
93,shenjiamen,29.9576,122.298,10.810000000000002,97,100,4.8,CN,1675655507
94,cockburn town,21.4612,-71.1419,25.49000000000001,80,1,9.55,TC,1675655494
95,avarua,-21.2078,-159.775,27.03000000000003,83,20,5.66,CK,1675655508
96,san andres,12.5847,-81.7006,27.010000000000048,83,75,6.69,CO,1675655509
97,qandala,11.472,49.8728,22.5,77,30,2.11,SO,1675655510
98,khash,28.2211,61.2158,9.180000000000007,39,0,2.04,IR,1675655510
99,srandakan,-7.9386,110.2506,27.55000000000001,75,99,1.68,ID,1675655510
100,vila velha,-20.3297,-40.2925,26.08000000000004,84,0,2.57,BR,1675655511
101,namibe,-15.1961,12.1522,21.220000000000027,82,97,2.06,AO,1675655511
102,husavik,66.0449,-17.3389,2.07000000000005,65,92,8.41,IS,1675655230
103,magistralnyy,56.1725,107.4458,-10.139999999999986,92,100,2.22,RU,1675655512
104,severo-kurilsk,50.6789,156.125,-2.5499999999999545,63,100,9.02,RU,1675655513
105,barrow,71.2906,-156.7887,-30.98999999999998,76,40,3.09,US,1675655513
106,dongsheng,39.8161,109.9776,-1.0699999999999932,28,16,1.91,CN,1675655513
107,norman wells,65.282,-126.8329,-24.97999999999999,77,100,1.54,CA,1675655447
108,bilma,18.6853,12.9164,15.629999999999995,16,11,6.28,NE,1675655514
109,champerico,14.3,-91.9167,25.879999999999995,74,10,2.37,GT,1675655515
110,bengkulu,-3.8004,102.2655,28.629999999999995,63,79,5.11,ID,1675655515
111,new norfolk,-42.7826,147.0587,23.720000000000027,44,41,3.58,AU,1675655516
112,georgetown,5.4112,100.3354,26.970000000000027,83,20,2.06,MY,1675655329
113,yozgat,39.5833,35.3333,-2.6999999999999886,93,100,6.55,TR,1675655517
114,bambous virieux,-20.3428,57.7575,27.900000000000034,94,40,1.54,MU,1675655517
115,sarangani,5.4033,125.4636,27.28000000000003,77,70,7.62,PH,1675655517
116,oktyabrskiy,54.4815,53.471,-9.339999999999975,97,100,0.76,RU,1675655518
117,beloha,-25.1667,45.05,22.430000000000007,88,100,4.4,MG,1675655518
118,haimen,23.1935,116.6142,17.939999999999998,87,98,2.88,CN,1675655519
119,anito,12.4497,125.2886,27.379999999999995,82,49,4.59,PH,1675655519
120,qaanaaq,77.484,-69.3632,-24.089999999999975,85,58,2.97,GL,1675655520
121,hoi an,15.8794,108.335,27.980000000000018,80,100,2.59,VN,1675655520
122,yumen,40.2833,97.2,1.2600000000000477,28,100,1.11,CN,1675655521
123,luderitz,-26.6481,15.1594,16.27000000000004,93,84,0.35,NA,1675655521
124,isangel,-19.55,169.2667,29.33000000000004,72,100,2.06,VU,1675655522
125,hobart,-42.8794,147.3294,23.920000000000016,47,0,7.72,AU,1675655254
126,bend,44.0582,-121.3153,3.7900000000000205,72,81,1.34,US,1675655375
127,plettenberg bay,-34.0527,23.3716,20.680000000000007,97,81,2.48,ZA,1675655525
128,swan hill,-35.3378,143.5544,29.5,22,17,4.01,AU,1675655525
129,broome,42.2506,-75.833,5.470000000000027,60,100,3.6,US,1675655526
130,puerto ayora,-0.7393,-90.3518,26.420000000000016,91,29,3.13,EC,1675655528
131,cravo norte,6.3017,-70.2041,26.670000000000016,59,88,1.88,CO,1675655529
132,necochea,-38.5473,-58.7368,21.629999999999995,58,100,2.25,AR,1675655530
133,esperance,-33.8667,121.9,30.220000000000027,39,73,7.05,AU,1675655531
134,miles city,46.4083,-105.8406,2.5400000000000205,75,100,2.57,US,1675655531
135,manzanillo,20.3433,-77.1167,23.07000000000005,81,19,2.42,CU,1675655532
136,yerbogachen,61.2767,108.0108,-24.809999999999974,98,100,1.16,RU,1675655533
137,jinji,23.2281,110.8261,17.260000000000048,90,95,1.1,CN,1675655534
138,the pas,53.8251,-101.2541,-8.989999999999952,86,100,6.17,CA,1675655536
139,piney green,34.716,-77.3202,11.640000000000043,68,75,2.57,US,1675655536
140,mogadouro,41.3403,-6.7119,-0.2599999999999909,89,30,2.66,PT,1675655537
141,rio gallegos,-51.6226,-69.2181,12.03000000000003,54,75,3.6,AR,1675655502
142,tiarei,-17.5333,-149.3333,30.010000000000048,77,100,6.29,PF,1675655538
143,yuzawa,39.1667,140.5,1.7900000000000205,100,100,1.33,JP,1675655541
144,karratha,-20.7377,116.8463,37.83000000000004,27,0,5.14,AU,1675655541
145,salinas,36.6777,-121.6555,10.840000000000032,80,20,3.6,US,1675655377
146,ampanihy,-24.7,44.75,22.33000000000004,84,99,3.11,MG,1675655542
147,ilulissat,69.2167,-51.1,-17.98999999999998,71,100,8.23,GL,1675655543
148,bay roberts,47.5999,-53.2648,-1.079999999999984,87,96,3.58,CA,1675655544
149,castro,-24.7911,-50.0119,15.730000000000018,84,13,2.11,BR,1675655545
150,kahului,20.8947,-156.47,25.010000000000048,77,0,8.75,US,1675655274
151,mahebourg,-20.4081,57.7,27.920000000000016,94,40,1.54,MU,1675655551
152,harper,4.375,-7.7169,26.05000000000001,84,92,2.94,LR,1675655551
153,sorland,67.667,12.6934,5.920000000000016,85,100,13.07,NO,1675655552
154,havre-saint-pierre,50.2334,-63.5986,-14.0,84,100,3.09,CA,1675655552
155,zhigansk,66.7697,123.3711,-38.809999999999974,93,100,1.74,RU,1675655553
